SN,Yr_disclosure,Regions,Codes,NoStuR,NoStuE,NoStuE_ODC,StuEmp_CEA,NoCEA,Class_UND30,NoStuE_MJCred,NoStuE_LBCred,NoStueE_Cap,CapFund,TPTC,NoStuE_VolCLPG,No_VolCLPG,LibLit_pStuE,LibSpen_pStuE,NoStuR_pFac,NoStuE_pFac,NoStuE_EntreCL,NoStuE_EntrePG,NoStuE_EntreCLPG,NoFac_Entre,EntreFund_Col,EntreFund_Bus,Startup_Fund,EntreFund_pStuE,StuEStartup_Fund,Rfac_pStuR,Rfac_pStuE,BookPub_pFac,PaperPub_pFac,RLand_pStuR,RLand_pStuE,RFacil_StuR,RFacil_StuE,Tot_FinanSup,No_FinanSup,Tot_GF,No_GF,Tot_RGF,No_RGF,Profit_CIC,TotIncome_CIC,EduSupFee_pStudE,TotEduSup_Fee,TotExt_Schol,NatSchol,TotInt_Schol,Disast_Schol,TotSchol,Schol_pStuE,Cred_pRFac,Cred_pCFac,TotCred,AveGradScore,NoGrad,NoEmpl,NoExcep,Freelancer,Founder,IndFac_H,IndFac_D,IndFac_C,SafeFund_SCI,REnrol_StuR
54,2019,09_Kyunggi,C058,4982,4991,178,29,47,1802,62914,8291,966,77957982,375,4522,11,24,20776.9,31.94,31.99,970,281,1251,1,27000000,0,27000000,21582.734,27000000,63.67,63.67,0.183,0.072,321.8,338.9,135.7,142.9,6990654767,12,1437669337,8,5552985430,4,519900579,19136969968,10907409.9,59870772788,12595510644,12346522724,4455796300,0,17051306944,3216014.1,3870.5,3186.9,7057.4,3.32,2237,1659,183,0,20,9,16,0,41103040,88.6
55,2019,09_Kyunggi,C059,5342,7519,148,78,119,2367,89517,14377,497,62240420,329,1681,16,38,32783.3,27.97,39.37,1530,259,1789,5,54420769,0,54420769,30419.658,54420769,76.4,54.42,0.065,0.151,158.6,147.5,185.8,172.9,7086686739,26,3322188419,14,3764498320,12,429294786,7193956857,10495250.7,80477582537,22195865405,22001745115,8602649100,0,30798514505,4108111.8,5449.7,5137.3,10587,3.38,3118,2083,293,22,24,18,2,0,20275287,99.7
56,2019,09_Kyunggi,C060,1890,3129,0,0,0,1983,35785,9102,28,2376841,320,64,4,33.6,62720.1,21.24,35.16,673,31,704,1,23400000,144300000,167700000,238210.227,68700000,93.68,56.69,0.113,0.07,475.5,287.2,185.6,112.1,2009539000,16,1719620000,7,289919000,9,301949723,2160848097,10139846.4,31169887819,6792129226,6615988226,3608575907,0,10400705133,3433709.2,1964.1,4082.7,6046.8,3.32,976,561,109,0,26,8,3,0,0,100.1
57,2019,09_Kyunggi,C061,3205,4908,230,17,42,2022,55259,9702,171,14900251,423,339,8,16.9,21672.2,26.06,39.9,1838,159,1997,3,0,9690000,9690000,4852.278,0,82.55,54.91,0.173,0.071,138,131,150.9,143.2,3661438248,42,1157907078,13,2503531170,29,578764536,2478885572,8778867.7,43174471555,13647797410,13583493680,5194484140,0,18842281550,4038208.6,3710,4019,7729,3.51,1926,1288,156,33,27,1,4,0,18479220,94.3
58,2019,09_Kyunggi,C062,5700,6256,82,61,64,1713,82972,22441,1111,46633200,862,119,10,34.3,23111.1,38.51,42.27,2038,143,2181,1,0,0,0,0,0,55.85,50.68,0.195,0.107,165.8,153.5,129.7,120,528715818,9,528715818,9,0,0,1372330076,3678965933,8067782.2,51835500780,13472889224,13292430224,5647585500,0,19120474724,3161454.2,3903,3247,7150,3.22,2495,1497,150,6,13,3,10,0,40722920,99.5
59,2019,09_Kyunggi,C063,4234,4262,27,26,4,966,55553,8986,866,68441065,133,3717,5,39.2,30548.7,36.5,36.74,911,459,1370,2,37917728,0,37917728,27677.174,37917728,57.14,56.59,0.1,0.252,64.2,64.6,102,103.4,1531637500,21,688252000,6,843385500,15,408016259,1503282798,10995851.3,47732990381,10381976774,10295718774,4577065920,0,14959042694,3528076.1,2705,2648,5353,3.28,1663,1103,98,91,4,5,0,1,17724040,92.3
60,2019,09_Kyunggi,C064,6135,6607,0,0,0,1622,77675,11253,110,15552090,528,141,2,27.7,27039.3,37.18,40.04,3585,285,3870,0,22685000,50379710,73064710,18879.77,73064710,57.89,53.75,0.07,0.134,62.7,61.8,117.6,115.9,6368033890,23,5453665360,14,914368530,9,989781168,6997985180,10607475,68609148029,16838510500,16475377000,6325801792,0,23164312292,3675708.1,4219.2,3874.8,8094,3.4,2425,1711,218,10,17,19,0,0,55487940,93.4
61,2019,09_Kyunggi,C065,3930,4124,78,37,12,855,55346,12760,978,17736519,493,581,5,30.9,22262.1,32.21,33.8,1384,135,1519,2,11762000,112759319,124521319,81975.852,2961740,65.59,62.24,0.07,0.026,483.2,478.2,132.7,131.3,3390485050,14,2508188050,8,882297000,6,648285797,4552754154,9571329.9,40840864864,9749960590,9502634790,3562305270,0,13312265860,3256425.1,3162,2002,5164,3.34,1767,1036,120,26,10,4,10,0,25374580,95.3
62,2019,09_Kyunggi,C067,4072,4345,38,0,5,902,53191,13474,373,36388341,224,379,22,42,30611.5,34.22,36.51,1189,152,1341,1,0,34044590,34044590,25387.465,30521760,62.3,58.33,0.059,0.216,147.7,142.5,131.5,126.9,4354212000,15,4287878000,9,66334000,6,1921373084,9389327983,11198328.2,49003884064,11220745620,10917779160,3763286780,0,14984032400,3514078.9,2629.7,2334.1,4963.8,3.43,1486,1122,110,0,4,8,10,0,17593970,93.9
63,2019,09_Kyunggi,C068,5292,5610,0,0,0,2746,64417,13156,467,8000000,389,3301,11,34.8,21655.6,33.92,35.96,1084,274,1358,2,40800000,43334000,84134000,61954.345,40800000,60.47,57.14,0.039,0.024,225.6,232.5,104.3,107.5,1653060146,16,340631497,4,1312428649,12,336928759,2012494281,9149865.5,49125627891,10248356214,10070862294,4633766770,0,14882122984,2880225.1,4459.7,4104.3,8564,3.18,1881,1308,226,10,8,9,2,0,44997100,90.4
64,2019,09_Kyunggi,C069,5688,5974,229,131,45,1628,69325,10733,2039,191683316,805,943,16,33.9,31021.2,36.7,38.54,3229,376,3605,1,5466800,62722360,68189160,18915.162,68189160,59.16,56.16,0.02,0.081,102.1,103.8,144,146.5,7624797027,20,6410815000,8,1213982027,12,522955911,8136392348,10367338.6,60410482168,15239513850,14887301290,5792000000,0,21031513850,3715158.8,4373.6,3217.6,7591.2,3.19,2234,1432,191,5,11,0,0,0,42640790,93.9
65,2019,09_Kyunggi,C070,4664,4846,167,66,59,1672,51223,12472,1530,176552068,790,406,2,32.1,28241.7,34.81,36.16,2538,480,3018,3,49769550,0,49769550,16490.905,49769550,62.33,60.36,0.05,0.203,167,175.6,110.6,116.3,5786137750,99,3631277250,79,2154860500,20,751368290,6019109452,10011558.3,50278045891,9882692627,9810125780,4854565330,0,14737257957,3126937.8,3042,3245,6287,2.94,1944,1230,189,52,14,32,0,0,31762650,91.5
66,2019,09_Kyunggi,C071,3876,3896,27,6,6,1714,43063,16994,671,53489029,479,162,7,41,33603.1,35.24,35.42,1112,500,1612,2,42301494,116895598,159197092,98757.501,159197092,60.44,59.78,0.073,0.15,110.4,111.7,117.7,119,4103952600,18,3942482600,11,161470000,7,1143773797,5069596580,9953825.8,38292368021,8124309220,7941391220,2998376425,0,11122685645,3003695.8,3037.4,2605.6,5643,3.24,1508,892,117,27,11,8,19,0,14470860,91.8
67,2019,09_Kyunggi,C072,1797,1290,0,0,0,155,12199,4758,0,0,0,0,0,6.8,0,39.93,28.67,0,0,0,0,0,0,0,0,0,62.5,86.54,0.022,0.027,127.6,178.4,195.5,273.4,0,0,0,0,0,0,87985978,91487520,6626559.6,9866947177,937944001,901544001,1419472290,0,2357416291,1668376.7,989,222,1211,3.5,431,185,8,0,4,0,0,0,0,69.8
68,2019,09_Kyunggi,C073,4540,4844,457,88,170,1149,53009,9829,1249,214199565,468,93,3,46.2,30594.6,35.19,37.55,3099,504,3603,2,0,70527244,70527244,19574.589,70527244,60,56.09,0.028,0.067,36.8,36.9,131.9,132.2,5656284340,12,5573784340,11,82500000,1,212767593,5602341634,10367907.6,47153243882,12023842465,11764170135,3800920404,0,15824762869,3568154,2800.5,3087,5887.5,3.32,1801,1402,108,62,14,14,0,0,8238670,99.9
69,2019,09_Kyunggi,C074,5584,5622,1916,10,26,2357,68287,10767,127,12888356,295,340,3,33.6,34451.7,35.34,35.58,0,225,225,4,61143,0,61143,271.747,0,63.45,63.2,0.065,0.353,182.2,191.2,237.8,249.6,3017574727,28,684092900,10,2333481827,18,100782151,2689502506,9350873.9,52636068955,13858395140,13777108140,6244573210,0,20102968350,3701522.4,3998,4710,8708,3.32,2311,1429,237,66,18,0,0,0,27314670,91.3
70,2019,09_Kyunggi,C075,3510,3731,51,1,3,1542,31121,9734,1484,103033467,0,205,2,56.2,29339.3,34.08,36.22,2597,195,2792,4,0,0,0,0,70818144,59.2,55.68,0.091,0.089,205.2,189.3,123,113.5,4226379000,14,3334629000,10,891750000,4,813571803,5400386476,10662699.4,38716261598,9665281810,9548805430,3680068832,0,13345350642,3773070.6,2262,3463,5725,3.16,1208,737,132,78,7,9,5,0,8648750,95.9
71,2019,09_Kyunggi,C076,1860,1877,142,37,8,817,19572,6095,319,31696290,253,880,5,45.6,48409.1,35.77,36.1,1566,162,1728,2,0,19989200,19989200,11567.824,19989200,65.82,64.2,0.098,0.07,556.9,566.7,228.5,232.5,2190657200,6,2160000000,1,30657200,5,14302578,2239669385,10583211.5,20637262494,5384188229,5265060666,1945593512,0,7329781741,3872045.3,1549,1286,2835,3.25,942,591,70,0,6,2,0,0,38249070,92.5
72,2019,09_Kyunggi,C077,633,679,93,3,20,610,6988,1411,143,7322400,0,59,2,71.8,107803.6,11.11,11.91,254,105,359,7,4346700,72215500,76562200,213265.181,76562200,190,178.13,0.018,0.144,1161.3,1196.4,610.8,629.3,844815900,11,755885000,8,88930900,3,918295350,1612201657,0,0,1478555700,1410208850,394799050,0,1873354750,2917998.1,1174,607,1781,3.46,211,109,26,0,1,0,3,0,4957000,94
73,2019,10_Gangwon,C078,2692,2795,0,0,0,783,40304,5929,131,6109470,173,447,4,32.5,22430.2,30.59,31.76,385,80,465,1,24100000,0,24100000,51827.957,26100000,67.69,64.71,0.218,0.051,173.6,161.4,163.4,151.9,180500000,6,130500000,3,50000000,3,165683003,309225889,9422542,26741174317,8334282524,8130494984,2521015220,0,10855297744,3871361.5,1844.4,1367.9,3212.3,3.37,973,670,62,0,4,0,0,0,57063010,85.5
74,2019,10_Gangwon,C079,1186,1187,0,0,0,431,17800,2698,0,0,89,100,2,39.7,27184.1,43.93,43.96,417,135,552,1,0,3499760,3499760,6340.145,0,50.94,49.09,0.1,0.372,675.7,1763.5,210.5,274.7,756400000,8,114400000,2,642000000,6,323909379,871285228,9472569,11063960569,3659102155,3407408005,842500708,0,4501602863,4037312,707.6,851.4,1559,3.53,404,316,64,0,14,1,0,0,3420400,82.4
75,2019,10_Gangwon,C080,710,619,65,8,26,330,8409,1027,196,9542530,119,949,19,81.8,51101,23.67,20.63,303,171,474,2,42785000,0,42785000,90263.713,2708670,93.75,100,0.033,0.173,2120.3,2222.9,400.8,420.2,2160453700,20,1420653700,11,739800000,9,404759601,2300958902,0,0,804422430,774164230,554551380,0,1358973810,2093950.4,388,600,988,3.26,295,164,78,0,4,0,12,2,12273010,86.8
78,2019,10_Gangwon,C083,976,1047,64,4,7,358,13305,3694,56,4070000,131,559,18,42.9,21661.6,33.66,36.1,1362,79,1441,1,0,0,0,0,0,65.91,61.7,0.128,0.189,400.7,940.3,293.5,344.4,411261000,9,196097000,2,215164000,7,49312274,330624789,9166753.3,9698424965,3651663320,3069870310,668500000,0,4320163320,4223033.5,842.8,601.1,1443.9,3.51,436,234,62,0,14,0,0,0,2322000,93.1
79,2019,10_Gangwon,C084,576,659,0,0,0,283,9976,2726,92,6151670,44,0,0,20.3,29132.2,25.04,28.65,468,262,730,1,6398000,41709600,48107600,65900.822,48107600,79.31,69.7,0.065,0.114,1574.5,1313,187.4,156.3,3655240000,7,3564120000,3,91120000,4,0,3552022705,14254761.2,9892804258,2212564253,2171529993,619653117,0,2832217370,4208346.8,422.4,503.6,926,3.34,221,130,37,0,0,0,0,0,27941882,93.6
80,2019,10_Gangwon,C085,902,973,0,0,0,539,11627,1605,183,5948305,32,129,4,44.6,20854.2,29.1,31.39,811,243,1054,2,828108,9238070,10066178,9550.454,0,70.45,63.27,0.131,0.054,1834.6,1925.4,233.7,245.2,3729920000,10,3389000000,1,340920000,9,242286835,3705500774,12633433.6,12393398398,2498083840,2414013840,906574620,0,3404658460,3542828.8,707,814,1521,3.4,328,195,42,0,5,0,0,0,11694210,85.7
81,2019,10_Gangwon,C086,480,430,0,0,0,165,4753,1611,0,0,0,7,1,33.4,10392.7,32,28.67,129,0,129,0,0,0,0,0,0,62.5,68.18,0.033,0.467,873.2,974.7,242.2,270.4,183400000,4,163400000,3,20000000,1,220837900,411650544,11379472.8,5120762753,1157038250,1119313250,886895500,0,2043933750,4854949.5,308,304,612,3.55,143,45,21,0,5,0,1,0,0,82.1
82,2019,10_Gangwon,C087,2623,3086,205,51,102,718,39190,6741,217,29478640,0,281,4,49.2,29574.4,31.99,37.63,1535,173,1708,6,600000,168300000,168900000,98887.588,168900000,65.6,55.41,0.019,0.135,238.5,231.6,125.9,122.2,5113740400,26,4662240400,13,451500000,13,99075233,5350165115,10410990.5,32877907888,8893062494,8629856014,2703336120,0,11596398614,3793391.8,1430,1285,2715,3.43,1158,790,183,0,6,0,0,0,16387220,93.3
83,2019,11_Chungbuk,C088,3854,3763,141,62,57,1228,47116,7898,174,6791740,382,849,26,35.2,27849.8,36.02,35.17,1625,123,1748,2,150000,102478325,102628325,58711.856,25232870,58.15,59.44,0.039,0.177,159.8,164.7,123,126.8,4415074000,23,4148773000,11,266301000,12,116000445,4754635260,10000333.2,39061301330,9780452670,9661167610,3513286650,0,13293739320,3537450.6,2503.2,2164.4,4667.6,3.34,1461,932,129,36,11,20,0,0,9800450,90.1
84,2019,11_Chungbuk,C089,2539,2489,0,0,0,952,32406,5676,882,68053120,231,866,29,35.1,30572.9,31.35,30.73,1580,104,1684,3,200000,6759680,6959680,4132.827,6959680,66.39,66.94,0.105,0.225,456.8,481.4,177.3,186.8,3658247000,7,3605686000,6,52561000,1,575083582,5198244935,12505741,30676582731,6940944361,6693744961,2727133180,0,9668077541,4028365.6,1914.7,1467.3,3382,3.3,924,578,121,0,8,1,0,0,8464390,88.7
85,2019,11_Chungbuk,C090,920,896,0,0,0,275,9722,1780,0,0,183,0,0,81.4,57650.8,30.67,29.87,117,241,358,2,90582530,0,90582530,253023.827,46403000,66.67,68.18,0,0.018,481,455.7,296.1,285.8,635232000,14,453132000,6,182100000,8,66001282,733355587,0,0,1056052690,1035607610,440592480,0,1496645170,1781720.4,589,725,1314,3.35,383,242,48,3,0,0,0,0,55447000,96.1
86,2019,11_Chungbuk,C091,2648,2703,209,52,115,590,36308,3274,238,63266617,115,1833,21,45.1,14302.9,31.15,31.8,1878,78,1956,3,0,22647850,22647850,11578.655,22647850,65.38,63.91,0.068,0.136,435.5,463.6,118.9,126.5,4404587000,7,4328244000,5,76343000,2,399191626,5162796782,10438539,28893876054,7014865080,6867875000,2304511260,0,9319376340,3468320.2,1725,1393.2,3118.2,3.4,1065,623,149,0,11,0,6,2,3373000,89.4
87,2019,11_Chungbuk,C092,3795,4222,0,0,0,1575,56256,9687,675,36549360,444,390,22,37.6,36446.5,32.16,35.78,846,285,1131,1,0,16762000,16762000,14820.513,22282600,64.48,57.84,0.014,0.049,184.9,177.8,168,161.5,6117776400,9,5902896400,6,214880000,3,610395369,4438080047,10584129.5,46464328381,11756206216,11605293629,3774937800,0,15531144016,3620313.3,2691.9,3674.1,6366,3.53,1809,1156,207,10,25,3,11,0,17467570,94.4
88,2019,12_Chungnam,C093,5318,5679,294,0,109,2626,61599,18451,616,43691125,624,623,4,34.7,22873.5,28.59,30.53,7894,250,8144,2,2343536,40440360,42783896,5253.425,42783896,74.7,70.19,0.119,0.202,172,170.1,130.6,129.2,6742010200,16,5893676200,9,848334000,7,189277503,6984682322,10020330.7,54901391895,13544577210,13361397390,5296769720,0,18841346930,3592249.2,4486,3355,7841,3.33,1813,1318,305,37,8,5,19,0,8819810,95.2
89,2019,12_Chungnam,C094,3648,3921,188,67,91,956,52908,6326,1194,136839204,441,671,14,47.3,44024.1,30.4,32.68,1376,158,1534,2,0,28750000,28750000,18741.851,28750000,67.8,62.18,0.126,0.26,363.7,358.1,164.9,162.3,4712959000,13,4505489000,6,207470000,7,862930882,5442709485,10687494.3,40836915692,10089767160,9781554580,3578833560,0,13668600720,3656661.5,2798,2053,4851,3.39,1514,1108,113,0,11,1,9,0,2548120,89.7
90,2019,12_Chungnam,C095,988,964,0,0,0,458,9510,1723,694,102865407,476,33,3,38.7,30472,34.07,33.24,491,217,708,1,0,134284590,134284590,189667.5,134284590,58,59.18,0.028,0.052,2801.5,2871.2,206.1,211.2,4113393000,11,3948393000,8,165000000,3,238847945,4574868736,13026269.8,13065348583,1932319800,1894792980,995284552,0,2927604352,3002671.1,812,480,1292,3.36,401,285,30,0,6,5,24,3,5513520,87.8
91,2019,12_Chungnam,C096,966,1047,0,0,0,385,12448,3092,0,0,342,575,10,53.8,29701.5,29.27,31.73,1207,717,1924,0,0,0,0,0,40358890,67.35,62.26,0.082,0.173,4783.7,4734.7,392.4,388.4,2722257000,11,2722257000,11,0,0,427673049,4516267545,22987348.1,25538943706,2883315550,2733569310,874928360,0,3758243910,3463819.3,1093,701,1794,3.14,509,288,68,0,6,5,0,0,14280790,92.1
92,2019,12_Chungnam,C097,1017,1042,991,30,80,561,13220,3933,245,77782660,0,188,3,61.4,40071.1,31.78,32.56,396,191,587,1,0,0,0,0,34502987,64,64,0.021,0.23,537.1,1200.4,274.6,306.8,3089417000,14,2323516000,6,765901000,8,319839394,3244403878,0,0,2152876860,1668909680,726456280,0,2879333140,2656211.4,503,1310,1813,3.2,485,282,39,15,11,0,0,2,1802400,95.5
93,2019,12_Chungnam,C098,2860,2831,63,17,3,966,39614,6036,13,1316000,0,227,4,59.7,26576.7,34.88,34.52,1565,211,1776,3,1900000,19980220,21880220,12319.944,2880220,58.16,58.57,0.093,0.257,180.4,187.4,121,125.7,3022755000,17,2517830790,6,504924210,11,237917988,3120285873,10450841.8,29878956784,7078106180,6897846520,2567018930,0,9645125110,3454557.7,1681,1966,3647,3.23,1125,792,107,0,5,2,0,0,4860000,85.5
94,2019,13_Kyungbuk,C099,1740,1846,114,11,23,550,24974,3105,112,18034780,31,191,5,59.5,33806,32.22,34.19,392,126,518,5,5000000,86000000,91000000,175675.676,0,65.06,60.67,0.043,0.084,218,229.2,196.3,206.4,6728724118,28,6310577228,9,418146890,19,233511461,6551250481,12257557.6,22602936277,4807691121,4754741421,2128906610,0,6936597731,3907942.4,1228,1307.1,2535.1,3.44,640,493,45,0,3,0,0,0,4839510,85.1
95,2019,13_Kyungbuk,C100,1804,1425,0,0,0,722,24488,4177,91,1085600,64,160,2,60.8,13823,33.41,26.39,302,106,408,4,3850000,0,3850000,9436.275,3850000,63.53,78.26,0.138,0.171,850.7,1011.8,168.7,200.7,415229000,7,301702000,5,113527000,2,103105256,486125769,17577063.1,26119515772,3836168920,3822604920,1802653472,0,5638822392,3907707.8,1178.4,1001.1,2179.5,3.34,534,351,61,0,23,0,0,0,84079,72.6
96,2019,13_Kyungbuk,C101,940,868,0,0,0,534,11819,2418,123,12098050,57,279,2,68.6,57647.9,33.57,31,223,169,392,3,15800000,0,15800000,40306.122,15800000,60.87,66.67,0,0.028,1004.2,1224.2,270.8,330.1,1589919750,16,340973000,3,1248946750,13,229462340,2043978752,0,0,982728220,945805420,520602680,0,1503330900,1886237,457,960,1417,3.32,287,189,71,0,3,0,0,2,12614030,86.3
97,2019,13_Kyungbuk,C102,1202,1298,10,1,4,435,18385,2599,368,28853430,50,387,11,36.1,34703.2,28.62,30.9,464,83,547,1,0,20129010,20129010,36798.921,10129010,68.85,63.64,0.011,0.067,158.2,148.8,147,138.2,2255049445,10,2008000000,2,247049445,8,40738624,2323056766,10797223,13140220367,3195074132,3161879780,1130782360,0,4325856492,3569188.5,902.2,668.8,1571,3.51,354,300,6,0,2,2,0,0,3286670,95.7
98,2019,13_Kyungbuk,C103,2306,2850,109,33,21,681,37091,9666,335,11309141,165,18,1,45,19907.3,28.47,35.19,244,29,273,1,0,9028770,9028770,33072.418,0,72.32,59.12,0.119,0.071,396.4,364.1,199.5,183.2,6031249875,19,4954242000,5,1077007875,14,313310552,6250838832,10770720.1,30351889265,8606936900,8480438620,2998000000,0,11604936900,4212318.3,1738,1639,3377,3.48,1138,526,150,0,8,5,2,0,0,96.5
99,2019,13_Kyungbuk,C104,3678,5122,208,71,141,1333,53059,10939,192,57892831,422,629,12,35.2,12712.4,28.96,40.33,2165,229,2394,2,0,5000000,5000000,2088.555,5000000,69.78,50.6,0.019,0.06,139.7,114.8,114,93.4,9343472109,31,7840339966,14,1503132143,17,2974729243,10731771770,10436453.3,56262919907,15138219360,14961235240,8419894400,0,23558113760,4631953.2,3485,2790,6275,3.53,2219,1622,225,0,35,14,9,0,0,96.2
100,2019,13_Kyungbuk,C105,3870,4314,167,19,24,1866,59071,9769,1795,62099580,491,4,2,31.7,21637.1,31.72,35.36,1904,247,2151,10,2500000,133006300,135506300,62996.885,135506300,65.24,58.37,0.008,0.041,99.9,95,121.4,115.4,1787201000,31,1276327000,8,510874000,23,463157909,2012361927,7785277.4,35057104012,10267198893,10138493503,3827703587,0,14094902480,3317228.2,2623,3525,6148,3.42,1488,890,191,112,22,11,0,0,12987710,92.5
101,2019,13_Kyungbuk,C107,851,876,0,0,0,313,13587,3617,82,5903720,22,626,11,47.3,25250.9,28.37,29.2,297,53,350,4,0,111031000,111031000,317231.429,111031000,73.17,69.77,0.063,0.293,6523.5,6657.2,161.8,165.1,4272274700,21,2292918000,7,1979356700,14,68880000,3687198381,14192377.8,12262214393,2822182420,2500035420,702255810,0,3524438230,4180828.3,475.7,691.3,1167,3.29,263,182,23,0,3,2,1,0,2310000,91.4
102,2019,13_Kyungbuk,C108,650,680,19,1,2,286,10641,1932,113,4009400,42,101,8,168.6,38642.2,24.07,25.19,98,0,98,1,14500000,0,14500000,147959.184,0,84.38,79.41,0.296,0.087,1642.8,1678.9,522.1,533.6,3612410000,8,3163250000,3,449160000,5,0,4061289013,13482600.4,9828815721,1994453044,1977186044,518382460,0,2512835504,3437531.5,515,490,1005,3.35,273,198,30,0,4,0,0,0,17572484,93.1
103,2019,13_Kyungbuk,C109,2213,2400,0,0,0,822,36938,9045,83,593000,110,892,3,32.7,22361,29.51,32,860,269,1129,2,10500000,245000000,255500000,226306.466,25500000,69.44,64.1,0.062,0.034,137.5,140.4,133.7,136.5,721557000,18,169785000,3,551772000,15,0,487801643,9270003.4,22906178456,7457548983,7354100983,2045743100,0,9503292083,3912429.8,1450,1327.5,2777.5,3.46,901,640,57,1,2,1,0,0,8705390,90.1
104,2019,13_Kyungbuk,C110,1294,1640,0,0,0,444,19259,5445,294,5864210,0,0,0,30.2,21600,26.96,34.17,751,46,797,1,7000000,0,7000000,8782.936,7000000,87.27,70.59,0.177,0.103,494.1,395.2,146,116.8,300000000,4,160000000,2,140000000,2,29060440,79216144,8187549.6,12256761792,3029149084,3026249084,2515855575,0,5545004659,3612380.9,1401,736,2137,3.33,622,370,48,0,29,4,0,0,323470,0
105,2019,13_Kyungbuk,C111,2688,2674,112,33,34,997,40246,6281,153,15819680,140,941,3,50.2,36172.4,29.87,29.71,1002,195,1197,0,0,0,0,0,5500000,67.67,66.67,0.025,0.081,166.8,171.5,109.5,112.6,3899343070,14,3703994990,8,195348080,6,147228941,4015029221,11669477.5,30515683582,7095556500,6973724900,2712128878,0,9807685378,3813252.5,1799.1,1951,3750.1,3.35,938,663,105,0,3,3,0,0,11820840,83.3
106,2019,13_Kyungbuk,C112,994,535,0,0,0,229,8075,1542,0,0,1,116,2,43.9,740.1,43.22,23.26,48,0,48,0,0,0,0,0,0,51.11,92,0,0,1760.9,3016,195.6,335,0,0,0,0,0,0,0,0,6524961.2,3967176427,273540600,270240600,1351166600,0,1624707200,2730600.3,485.5,380.5,866,3.26,254,199,49,0,12,0,0,0,228160,48.9
107,2019,13_Kyungbuk,C113,1919,1865,0,0,0,712,22949,5855,67,1114490,0,154,3,51.4,22784.4,29.52,28.69,203,120,323,2,3516397,0,3516397,10886.678,11377900,69.89,70.65,0.076,0.076,719.9,743.1,280.3,289.3,1203014200,21,547598827,6,655415373,15,87100000,1797603307,10666821.4,20021623754,6085179420,5983440910,1459814230,0,7544993650,4091645.1,1469.5,1060.5,2530,3.41,721,485,57,0,7,0,6,0,38950,87.1
108,2019,13_Kyungbuk,C115,1769,1934,0,0,0,733,25592,4143,241,4592550,42,753,6,39.9,20333.5,28.53,31.19,117,62,179,1,0,5000000,5000000,27932.961,0,72.94,67.39,0.117,0.033,121.1,128.8,183.7,195.4,4451425486,8,4226425486,6,225000000,2,0,4447632501,11086774.3,22617019501,5712879390,5698817390,2194958260,0,7907837650,3971791.9,1184,1544,2728,3.38,790,431,73,0,17,0,5,0,7246700,89.1
109,2019,14_Kyungnam,C116,1216,1196,66,35,14,409,13890,3219,12,19701220,136,554,6,54.6,34017.3,29.66,29.17,120,142,262,2,0,33032000,33032000,126076.336,0,68.33,69.49,0,0.153,639,723.7,184.1,208.5,4086704334,7,3518247334,5,568457000,2,155819395,4798346734,12470877,15850484653,2813837019,2725356819,1120641031,0,3934478050,3167856.7,733.3,943.7,1677,3.47,463,419,14,0,5,2,0,13,10020000,80.8
110,2019,14_Kyungnam,C117,907,898,314,27,71,539,11175,2330,182,19232060,222,95,3,49.6,29814.6,31.28,30.97,394,334,728,1,0,54023410,54023410,74207.981,54023410,64.44,65.91,0.145,0.138,735.8,778.1,217.2,229.7,4597644000,14,3042787000,4,1554857000,10,442712146,3992039916,0,0,1169738860,1103881960,600096230,0,1769835090,2092003.7,592,947,1539,3.36,345,202,30,0,4,0,13,4,10032760,98.1
111,2019,14_Kyungnam,C118,800,794,134,60,84,577,9536,3438,138,11902958,156,1927,7,53.1,28700.9,33.33,33.08,657,209,866,1,4967020,31168660,36135680,41727.113,36135680,61.54,60,0.031,0.027,690,710.7,252,259.6,4560548000,10,3437748000,3,1122800000,7,51242310,4135344630,0,0,1442184550,1344784550,516853410,0,1959037960,2622540.8,599,959,1558,3.31,318,225,20,0,3,0,0,8,0,95.4
112,2019,14_Kyungnam,C119,1365,1434,56,7,2,502,18853,3522,0,0,73,493,39,18.7,14976.9,34.13,35.85,75,24,99,2,39600000,0,39600000,400000,39600000,59.7,56.34,0.545,0.202,461.2,430,128.7,120,6880000,4,0,0,6880000,4,27344000,27361968,8474356.3,11584445068,3898615142,3879283702,1253041750,0,5151656892,3864708.8,967,899,1866,3.16,394,257,52,0,3,0,0,0,12798822,89.9
113,2019,14_Kyungnam,C120,1953,2253,0,0,0,949,29358,7177,212,1920060,440,909,2,37.3,17620.6,31.5,36.34,766,169,935,2,0,10974320,10974320,11737.241,0,63.92,55.36,0.138,0.062,699.1,672,190.6,183.3,6312539720,13,6195539720,9,117000000,4,532566053,6438968539,11826490.8,26846134094,5748759657,5575361377,2010333670,0,7759093327,3466976.5,1472.7,1655.9,3128.6,3.42,859,517,90,0,10,12,0,0,20131690,96.7
114,2019,14_Kyungnam,C121,5394,5595,109,14,5,1471,72700,12995,228,24094840,248,978,100,32.7,32509.8,33.71,34.97,1192,513,1705,2,0,451332960,451332960,264711.413,451332960,59.93,57.76,0.082,0.087,190.7,182.2,179.7,172.6,3783384997,16,3562934997,10,220450000,6,93379960,3941813109,9367107.5,51884408534,12575971654,12398292627,4886543480,0,17462515134,3203543.4,3240.3,3068.6,6308.9,3.22,1955,1349,126,4,10,2,0,0,39657000,89.3
