SN,Yr_disclosure,Regions,Codes,NoStuR,NoStuE,NoStuE_ODC,StuEmp_CEA,NoCEA,Class_UND30,NoStuE_MJCred,NoStuE_LBCred,NoStueE_Cap,CapFund,TPTC,NoStuE_VolCLPG,No_VolCLPG,LibLit_pStuE,LibSpen_pStuE,NoStuR_pFac,NoStuE_pFac,NoStuE_EntreCL,NoStuE_EntrePG,NoStuE_EntreCLPG,NoFac_Entre,EntreFund_Col,EntreFund_Bus,Startup_Fund,EntreFund_pStuE,StuEStartup_Fund,Rfac_pStuR,Rfac_pStuE,BookPub_pFac,PaperPub_pFac,RLand_pStuR,RLand_pStuE,RFacil_StuR,RFacil_StuE,Tot_FinanSup,No_FinanSup,Tot_GF,No_GF,Tot_RGF,No_RGF,Profit_CIC,TotIncome_CIC,EduSupFee_pStudE,TotEduSup_Fee,TotExt_Schol,NatSchol,TotInt_Schol,Disast_Schol,TotSchol,Schol_pStuE,Cred_pRFac,Cred_pCFac,TotCred,AveGradScore,NoGrad,NoEmpl,NoExcep,Freelancer,Founder,IndFac_H,IndFac_D,IndFac_C,SafeFund_SCI,REnrol_StuR
12,2019,02_Inchon,C013,5756,6879,257,19,107,2517,85493,18947,608,108525160,0,24,1,31,24573.9,33.86,40.46,1718,290,2008,2,4500000,104464310,108964310,54265.095,108964310,61.37,51.52,0.015,0.38,54.2,54.1,105.8,105.5,6936295000,43,6882356000,40,53939000,3,557984063,7847308121,11091518.6,73015467237,18153478286,17832202726,7514808700,0,25668286986,3966051.8,5246,4352,9598,3.36,2838,1738,180,0,20,21,9,0,42632720,99.3
13,2019,03_Daejeon,C014,4107,4193,200,45,104,1389,49953,10944,434,16598845,350,321,12,42.1,26832.9,40.66,41.51,972,0,972,1,0,20000000,20000000,20576.132,6787490,51.01,50,0.034,0.007,201.7,213.7,119.3,126.5,3629344000,22,3362238000,11,267106000,11,247849070,3957352711,10225406.6,40860724684,10660831604,10607760084,3368028556,0,14028860160,3632537.6,2578,2889,5467,3.39,1686,986,272,35,22,0,0,0,22531310,90.8
14,2019,03_Daejeon,C015,4151,4477,0,0,0,1410,57472,21549,124,36533300,423,584,1,78.7,28619.9,34.02,36.7,1328,540,1868,2,5000000,60000000,65000000,34796.574,65000000,61.62,56.74,0.07,0.208,255.2,219.5,192.4,165.5,5248835000,8,5109167000,7,139668000,1,119163424,5600344845,10344546.6,45257391401,11903858470,11809072690,3660715490,0,15564573960,3655372,2696.5,2724.1,5420.6,3.24,1529,992,235,35,14,1,23,0,19388720,90.9
15,2019,03_Daejeon,C016,5292,5730,0,0,0,1088,69439,16725,209,17097010,187,4685,25,30.6,29966.5,34.14,36.97,1342,171,1513,3,139900041,778782800,918682841,607192.889,86104760,59.16,54.2,0.034,0.253,72.9,71.7,128,126,7431796000,24,6983560000,16,448236000,8,790764147,8092636485,9605307.1,55883676833,15827500100,15635446260,4845299030,0,20672799130,3617287.7,4293.5,2577.5,6871,3.35,2138,1501,127,8,10,5,0,0,113136000,94.8
16,2019,03_Daejeon,C017,4770,4671,292,158,118,1758,50940,10855,1371,16949620,803,737,27,36,23234.4,39.42,38.6,2888,284,3172,2,12000000,0,12000000,3783.102,15000000,55.25,56.02,0.037,0.126,103,106.2,118,121.6,3321213140,14,2637725140,8,683488000,6,52852447,3470334597,10367289.7,47554757651,12907907480,12748775680,3957189479,0,16865096959,3842583,2531,3819,6350,3.29,1895,1087,241,13,9,11,1,6,126095990,94.4
17,2019,04_Sejong,C018,3202,3462,0,0,0,1172,37572,11173,1660,232277509,417,615,15,34.2,22258.8,32.67,35.33,2164,237,2401,1,1000000,58184270,59184270,24649.842,59184270,63.23,58.68,0.062,0.034,335,311.4,131.1,121.8,6257986000,11,6187986000,8,70000000,3,936542651,7424326087,10630788.1,37664882148,9325104076,9239695806,2923329140,0,12248433216,3581413.2,2520,2161,4681,3.04,1280,683,253,38,7,19,17,2,0,93
18,2019,05_Daegu,C019,4733,5255,301,112,128,2282,73989,19856,121,16446090,400,1927,2,46.5,21665.7,37.56,41.71,2077,288,2365,5,13057850,112105406,125163256,52923.153,97256520,58.06,52.07,0.028,0.159,175.3,170.7,137,133.3,7518400700,34,7225071700,19,293329000,15,869826218,8053732869,11254776.8,58749934951,16866405320,16760826640,5564909370,0,22431314690,4432190.2,2677.6,4290.6,6968.2,3.35,2118,1278,374,53,18,6,0,0,11547150,94.9
19,2019,05_Daegu,C020,1826,1672,85,64,120,777,23729,3239,223,29073250,456,1,2,62.8,22737.6,32.61,29.86,1962,348,2310,2,14894490,13019600,27914090,12084.022,0,62.92,68.29,0.088,0.013,184.6,200.1,249.1,270,614184473,10,544697473,7,69487000,3,328755849,775611614,9858028.5,16906518832,4291427957,4266532777,1674364639,0,5965792596,3631036.3,1173.7,1097.3,2271,3.43,739,417,115,1,11,1,3,0,13392050,88
20,2019,05_Daegu,C021,3879,4100,199,4,83,1318,63063,9674,289,6674260,311,2384,100,37.7,24262,29.61,31.3,1111,234,1345,2,0,29735000,29735000,22107.807,29735000,71.2,66.16,0.095,0.091,62.9,57.9,185.7,170.9,8296033178,27,7252913178,16,1043120000,11,1274912256,7736883347,11219118,45594495390,14486530323,14443474873,5014907042,0,19501437365,4880239.6,2767,2416.9,5183.9,3.4,1517,1012,127,0,20,2,11,0,25648340,91.4
21,2019,05_Daegu,C022,6118,7004,123,12,48,1490,99319,14173,769,65511063,269,1096,20,34.3,24899.9,33.43,38.27,2714,575,3289,2,4350000,0,4350000,1322.59,224791063,60.6,52.89,0.07,0.187,30.1,27.4,137.9,125.4,8536765000,41,7532059000,23,1004706000,18,1133340044,9385866233,10290142,69746582571,19604562152,19394747062,6292796000,0,25897358152,3868741.9,3613.8,4390.2,8004,3.36,2362,1595,144,0,5,11,20,2,75389780,95.4
22,2019,05_Daegu,C023,3420,3506,225,56,93,828,49173,7875,245,55937729,137,1397,19,33.9,31570.2,40.24,41.25,526,135,661,2,13706130,110598498,124304628,188055.413,51317490,53.13,51.52,0.37,0.244,280.5,254.9,194.5,176.8,8142004068,36,2986171620,15,5155832448,21,428424890,8106464852,11139269.6,38931747146,9284250500,9218452380,2938122830,0,12222373330,3582172.7,1561.5,2565.5,4127,3.4,1353,761,146,0,17,5,0,0,46556720,88.1
23,2019,05_Daegu,C024,5017,5740,532,141,159,1632,71537,17885,733,84301737,595,855,9,42.4,29622.3,34.6,39.59,2096,563,2659,4,50000000,60473000,110473000,41546.822,271373000,59.67,51.97,0.051,0.379,104.5,92.7,159.6,141.6,11207400931,35,10705168931,22,502232000,13,257035252,10440484906,10958165.5,61278061724,16294738710,15975083640,6297066960,0,22591805670,4109095.2,3281,3620,6901,3.37,2326,1515,215,6,17,10,0,0,25375000,98.2
24,2019,05_Daegu,C026,5790,8037,1065,346,264,2704,100461,13208,999,29555250,1307,579,2,42.5,31547.9,27.18,37.73,4147,212,4359,2,7000000,16000000,23000000,5276.44,23000000,77.74,56.05,0.032,0.017,948.7,805.3,147.7,125.4,6363875000,30,5557108000,17,806767000,13,1952606199,6830508413,12139334.9,96556269533,23170461960,23071207440,7841986155,0,31012448115,3978505.2,5923.5,5093.5,11017,3.4,3187,2179,342,16,10,7,10,0,11438130,101.6
25,2019,06_Busan,C027,5697,6950,36,11,1,2222,80246,19305,801,104125100,719,2185,10,32.7,22321.2,31.13,37.98,1685,441,2126,0,0,237159820,237159820,111552.126,256794820,67.03,54.95,0.191,0.074,79,72.7,154.2,142.4,6750295270,20,6501356000,12,248939270,8,132159422,6993199235,10071095.9,67677764428,18832519521,18619082561,5894098830,0,24726618351,3765857.2,4878,4557.2,9435.2,3.59,2726,1804,241,0,16,14,20,0,0,98.1
26,2019,06_Busan,C028,1525,1490,0,0,0,383,23259,5603,173,12017140,92,500,28,34.9,25668.8,38.13,37.25,466,261,727,2,7000000,60000000,67000000,92159.56,63336339,56.34,55.56,0.661,0.27,58.6,59.7,118.9,121.1,1851500000,4,1847500000,3,4000000,1,1530000,1856514744,9619444.4,14977474972,3848771193,3774186633,1296718316,0,5145489509,3378522.3,798,1106,1904,3.41,483,400,42,0,2,1,0,0,4402610,84
28,2019,06_Busan,C030,4888,5500,74,43,119,3415,63877,15817,751,55092487,212,147,1,30.8,26607.6,32.81,36.91,1327,370,1697,2,479000,79620040,80099040,47200.377,80099040,63.68,56.23,0.191,0.106,107.6,98.5,154.7,141.6,7264846330,32,6538477470,17,726368860,15,812244506,11602966706,11370142.9,60261757467,15367533670,15173661990,4051285845,0,19418819515,3770644.6,4620,3989,8609,3.44,2127,1284,257,0,14,10,9,0,19068420,97.8
29,2019,06_Busan,C031,3222,3194,155,65,82,1639,37389,7656,166,27141382,258,2146,76,36.6,25654.9,34.28,33.98,1146,917,2063,4,0,27400000,27400000,13281.629,30700000,61.44,61.44,0.158,0.134,140.1,138.8,153.7,152.4,4373391872,12,4125035200,9,248356672,3,123779493,4535474640,10691428.1,33517627121,8292906584,8245318024,2525351797,0,10818258381,3596495.5,2377,2410,4787,3.24,1106,745,126,0,10,2,19,0,19889600,87.7
